station,label,lat,lon,x_m,lanes,kind,speed_limit_ms,detectors
S1063,W of I-494 (E Jct),44.94877,-92.96922,0.0,4,mainline,24.5872,5137|5138|5136|5139
S1064,T.H.120,44.94855,-92.98462,1212.8094566562213,3,mainline,24.5872,5141|5142|5153
S1065,Hudson Rd,44.94971,-92.99909,2363.275117766778,3,mainline,24.5872,5145|5146|5148
S1066,McKnight Rd,44.95058,-93.00641,2947.4730807259875,3,mainline,24.5872,5052|5053|5054
S1067,Ruth St,44.95173,-93.01782,3855.000922081097,3,mainline,24.5872,5150|5151|5152
S1068,White Bear Ave,44.95144,-93.02552,4462.50379174278,3,mainline,24.5872,5156|5157|5158
S1947,E of T.H.61,44.95196,-93.03171,4953.527305565371,3,mainline,24.5872,7743|7744|7745
S1069,T.H.61,44.95278,-93.03929,5557.272253482199,3,mainline,24.5872,5161|5162|5163
S1070,Johnson Pkwy,44.95201,-93.05166,6536.3608205220335,5,mainline,24.5872,5171|5172|5173|5174|5175
S1948,E of Mounds Blvd,44.95196,-93.06087,7261.500903994638,5,mainline,24.5872,7746|7747|7748|7749|7750
S792,Mounds Blvd,44.95211,-93.06805,7826.792953157725,3,mainline,24.5872,3238|3239
S791,Kellogg Blvd,44.9553,-93.07585,8569.40574506815,3,mainline,24.5872,3234|3235|3236
S790,Kittson St,44.95377,-93.08043,8969.076177147304,3,mainline,24.5872,3231|T9333|3232|T9334|3233
S97,I-35E,44.9545,-93.09098,9909.00325079092,3,mainline,24.5872,1897|1898|1899
rnd_88835,T.H.120,44.94854,-92.9833,1108.9229705071957,1,off_ramp,,5140
rnd_88833,Hudson Rd,44.94855,-92.98892,1551.2081399205745,1,off_ramp,,5143
rnd_88831,Hudson Rd,44.94932,-92.99639,2146.415533686395,1,on_ramp,,5144
rnd_88827,Hudson Rd,44.94995,-93.00079,2499.693426641832,1,on_ramp,,5147
rnd_88823,McKnight Rd,44.95088,-93.00895,3150.1212831537887,1,on_ramp,,5149
rnd_88819,Ruth St,44.95165,-93.01945,3983.5787034278073,1,on_ramp,,5154
rnd_88817,White Bear Ave,44.95142,-93.02278,4246.872354124393,1,off_ramp,,5155
rnd_88811,T.H.61,44.95245,-93.0354,5248.969689033511,1,off_ramp,,5160
rnd_88807,T.H.61 NB,44.95245,-93.047,6166.405159241156,2,on_ramp,,5164|5165
rnd_87205,Mounds Blvd,44.95208,-93.06737,7773.178170811389,2,off_ramp,,3241|3242
rnd_87209,I-94 CD WB,44.95532,-93.07543,8536.282003561806,1,off_ramp,,T9342
rnd_91040,T.H.52 NB,44.9533,-93.08177,9086.764983198864,1,on_ramp,,7815
rnd_87221,Jackson St,44.95429,-93.09023,9845.534551691086,1,off_ramp,,1896
