station,label,lat,lon,x_m,lanes,kind,speed_limit_ms,detectors,offset_m,edge_id,lane_pos_m
S1063,W of I-494 (E Jct),44.94877,-92.96922,1089.1,4,mainline,24.5872,5137|5138|5136|5139,4.0,638519815,131.7
S1064,T.H.120,44.94855,-92.98462,2305.4,3,mainline,24.5872,5141|5142|5153,3.6,996266724-AddedOffRampEdge,20.9
S1065,Hudson Rd,44.94971,-92.99909,3467.6,3,mainline,24.5872,5145|5146|5148,1.0,43917735#1-AddedOnRampEdge,82.9
S1066,McKnight Rd,44.95058,-93.00641,4060.4,3,mainline,24.5872,5052|5053|5054,4.1,638377595,94.0
S1067,Ruth St,44.95173,-93.01782,4970.1,3,mainline,24.5872,5150|5151|5152,9.7,638519829,421.2
S1068,White Bear Ave,44.95144,-93.02552,5580.3,3,mainline,24.5872,5156|5157|5158,7.4,95085307,263.7
S1947,E of T.H.61,44.95196,-93.03171,6074.9,3,mainline,24.5872,7743|7744|7745,3.6,998737536-AddedOnRampEdge,145.1
S1069,T.H.61,44.95278,-93.03929,6683.8,3,mainline,24.5872,5161|5162|5163,2.0,998737535,368.5
S1070,Johnson Pkwy,44.95201,-93.05166,7674.6,5,mainline,24.5872,5171|5172|5173|5174|5175,6.6,45608485,175.8
S1948,E of Mounds Blvd,44.95196,-93.06087,8400.9,5,mainline,24.5872,7746|7747|7748|7749|7750,0.5,45608485,902.1
S792,Mounds Blvd,44.95211,-93.06805,8977.3,3,mainline,24.5872,3238|3239,0.8,45782590,452.7
S791,Kellogg Blvd,44.9553,-93.07585,9716.3,3,mainline,24.5872,3234|3235|3236,0.5,1000805867,168.9
S790,Kittson St,44.95377,-93.08043,10128.0,3,mainline,24.5872,3231|T9333|3232|T9334|3233,7.4,40648738-AddedOnRampEdge,32.7
S97,I-35E,44.9545,-93.09098,11071.8,3,mainline,24.5872,1897|1898|1899,1.0,82578022,117.2
rnd_88835,T.H.120,44.94854,-92.9833,2201.0,1,off_ramp,,5140,3.3,996266724,157.5
rnd_88833,Hudson Rd,44.94855,-92.98892,2651.3,1,off_ramp,,5143,6.9,43917735#0,109.9
rnd_88831,Hudson Rd,44.94932,-92.99639,3249.6,1,on_ramp,,5144,0.4,43917735#0,708.2
rnd_88827,Hudson Rd,44.94995,-93.00079,3604.2,1,on_ramp,,5147,4.4,43917735#1-AddedOnRampEdge,219.5
rnd_88823,McKnight Rd,44.95088,-93.00895,4263.4,1,on_ramp,,5149,0.5,638377595,297.1
rnd_88819,Ruth St,44.95165,-93.01945,5098.5,1,on_ramp,,5154,7.9,638519829,549.6
rnd_88817,White Bear Ave,44.95142,-93.02278,5364.1,1,off_ramp,,5155,1.2,95085307,47.4
rnd_88811,T.H.61,44.95245,-93.0354,6374.8,1,off_ramp,,5160,2.9,998737535,59.6
rnd_88807,T.H.61 NB,44.95245,-93.047,7294.2,2,on_ramp,,5164|5165,2.3,45608474,350.6
rnd_87205,Mounds Blvd,44.95208,-93.06737,8923.5,2,off_ramp,,3241|3242,0.6,45782590,399.0
rnd_87209,I-94 CD WB,44.95532,-93.07543,9683.6,1,off_ramp,,T9342,5.1,1000805867,136.2
rnd_91040,T.H.52 NB,44.9533,-93.08177,10245.6,1,on_ramp,,7815,2.7,40648738,47.9
rnd_87221,Jackson St,44.95429,-93.09023,11008.0,1,off_ramp,,1896,0.4,82578022,53.4
